"variable_id","membership.x","cluster","cluster_raw","SYMBOL","ENTREZID","GENENAME","ALIAS","GENETYPE","ACCNUM","UCSCKG","ENSEMBL","UNIPROT","mz","rt","na_freq","na_freq.1","polarity","column","mode","test_name","Decsription","Category","LipidClass","Lipid_Name","Lipid_Name_Tot","Lipid_Name_LION","Lipid_Class_Detailed","Lipid_Class","FA_1","FA_2","FA_All","Sat_status_FA1","Sat_status_FA2","Saturation_All","OddEven_FA1","OddEven_FA2","OddEven_All","Omega_FA1","Omega_FA2","Omega_All","HMDB_ID","KEGG_ID","LION_ID","cellular_component","Function","Total_Carb","Total_Unsat","Carbon_numb_FA1","Carbon_numb_FA2","CarbonFA_All","Unsat_numb_FA1","Unsat_numb_FA2","UnsatFA_All","PhysicoChemical","PathwaysKegg","membership.y","mol_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","class","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level"
"metabolomics_M135T442_POS_RPLC",0.999991580447402,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.080222053855,441.6125,0,0.359307359307359,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4'-Methylacetophenone",NA,NA,NA,NA,NA,NA,NA,"metabolomics","4'-Methylacetophenone","122-00-9","HMDB0032608",NA,"HMDB0032608_2_shen","(M+H)+",0.433044272512007,0.999849989379154,NA,NA,"5",0.651011214911575,0.781825755336917,"HMDB_2022-04-11",2
"metabolomics_M155T879_POS_RPLC",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.029337500847,879.458,0.00735294117647059,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patulin",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Patulin","149-29-1","HMDB0034299","C16748","AU597100","(M+H)+",11.6985473624709,0.89629578050312,NA,NA,"10 eV",0.671081831047212,0.755537062093177,"MassBank_2022-04-27",2
"metabolomics_M155T845_POS_RPLC",0.999999984698346,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.029302460278,844.938,0,0.00108225108225108,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protocatechuic acid",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Protocatechuic acid","99-50-3","HMDB0001856","C00230","HMDB0001856_15_shen","(M+H)+",11.6439359174336,0.897210301186148,NA,NA,"Unknown_3",0.67871820003489,0.760652737966612,"HMDB_2022-04-11",2
"metabolomics_M209T496_POS_RPLC",0.999997327325179,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.11728900753,496.0095,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neocuproine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Neocuproine",NA,"HMDB0255520",NA,"HMDB0255520_7_shen","(M+H)+",24.5006699700667,0.618643399742773,NA,NA,"10",0.554731342514666,0.578698363975206,"HMDB_2022-04-11",2
"metabolomics_M260T196_POS_RPLC",0.992972842517404,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.185761408135,196.298,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C6:0 ac",NA,NA,NA,NA,NA,NA,NA,"metabolomics","C6:0 ac","6418-78-6","HMDB0000705",NA,"RPLC_402","(M+H)+",1.33745378505523,0.998569997327882,3.33542209999999,0.993838482381484,"NCE25",0.897436031507346,0.946820135681014,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M285T322_POS_RPLC",0.994679762609568,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.093177024616,322.362,0,0.0162337662337662,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xanthosine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Xanthosine","146-80-5","HMDB0000299","C01762","BML82350","(M+H)+",22.8714208974168,0.65804529338552,NA,NA,"Unknown_1",0.653459781858711,0.655179348681264,"MassBank_2022-04-27",2
"metabolomics_M286T257_POS_RPLC",0.999933408952136,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.201561275169,257.08,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C8:1 ac",NA,NA,NA,NA,NA,NA,NA,"metabolomics","C8:1 ac",NA,"HMDB0013324",NA,"RPLC_404","(M+H)+",1.45440902755922,0.998309186542824,3.87806489999997,0.991679592596092,"NCE25",0.89731895266789,0.946156671118674,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M309T571_POS_RPLC",0.963093393588416,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.203807264464,570.6105,0,0,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate",NA,NA,NA,NA,NA,NA,NA,"metabolomics","2,2,4-Trimethyl-1,3-pentadienol diisobutyrate",NA,"HMDB0059777",NA,"HMDB0059777_1_shen","(M+Na)+",0.457805449940452,0.999832345391609,NA,NA,"12",0.867953336460157,0.917407964809452,"HMDB_2022-04-11",2
"metabolomics_M316T397_POS_RPLC",0.999594654661969,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.248521078293,397.449,0,0,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C10:0 ac",NA,NA,NA,NA,NA,NA,NA,"metabolomics","C10:0 ac","1492-27-9","HMDB0000651","C03299","RPLC_384","(M+H)+",1.81202382265155,0.997376702606958,3.75006089999999,0.992217686482929,"NCE25",0.879832961554092,0.937315078049518,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M357T455_POS_RPLC",0.99999999308114,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.203710083251,454.715,0,0.218614718614719,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Methylprednisolone",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Methylprednisolone","83-43-2","HMDB0015094","C04039","EA262108","(M+H-H2O)+",5.92016452245048,0.972350757123482,NA,NA,"15 % (nominal)",0.541966304885755,0.703360474474903,"MassBank_2022-04-27",2
