"Test.performed" "Classifier" "Count.query" "Count.universe" "%.query" "%.universe" "p-value" "FDR.q-value" "Fold.change"
"Category" "Glycerolipid" "142/390" "144/453" 36.4102564102564 31.7880794701987 0.166109811423828 0.83054905711914 1.14540598290598
"Category" "Glycerophospholipid" "156/390" "192/453" 40 42.3841059602649 0.527830942470789 0.879718237451315 0.94375
"Category" "Sphingolipid" "11/390" "12/453" 2.82051282051282 2.64900662251656 1 1 1.06474358974359
"Category" "Sterol" "21/390" "26/453" 5.38461538461539 5.73951434878587 0.88097606327941 1 0.938165680473373
"Category" "Uncategorized" "60/390" "79/453" 15.3846153846154 17.439293598234 0.456952220332123 0.879718237451315 0.882181110029211
"Main class" "CE" "21/390" "26/453" 5.38461538461539 5.73951434878587 0.88097606327941 1 0.938165680473373
"Main class" "DG" "45/390" "47/453" 11.5384615384615 10.3752759381898 0.65790761631303 0.87721015508404 1.11211129296236
"Main class" "PC" "77/390" "79/453" 19.7435897435897 17.439293598234 0.423681591055299 0.731123552531397 1.13213242453749
"Main class" "PE" "65/390" "87/453" 16.6666666666667 19.205298013245 0.369306805774576 0.731123552531397 0.867816091954023
"Main class" "PI" "14/390" "26/453" 3.58974358974359 5.73951434878587 0.193133754648767 0.731123552531397 0.625443786982248
"Main class" "SM" "11/390" "12/453" 2.82051282051282 2.64900662251656 1 1 1.06474358974359
"Main class" "TG" "97/390" "97/453" 24.8717948717949 21.4128035320088 0.250974122839383 0.731123552531397 1.16153846153846
"Main class" "Uncategorized" "60/390" "79/453" 15.3846153846154 17.439293598234 0.456952220332123 0.731123552531397 0.882181110029211
"Sub class" "CE(" "21/390" "26/453" 5.38461538461539 5.73951434878587 0.88097606327941 0.88097606327941 0.938165680473373
"Sub class" "DG(" "45/390" "47/453" 11.5384615384615 10.3752759381898 0.65790761631303 0.88097606327941 1.11211129296236
"Sub class" "LPC(" "12/390" "16/453" 3.07692307692308 3.53200883002207 0.847653085374156 0.88097606327941 0.871153846153846
"Sub class" "LPE(" "6/390" "9/453" 1.53846153846154 1.98675496688742 0.795228281664595 0.88097606327941 0.774358974358974
"Sub class" "PC(" "77/390" "79/453" 19.7435897435897 17.439293598234 0.423681591055299 0.88097606327941 1.13213242453749
"Sub class" "PE(" "36/390" "38/453" 9.23076923076923 8.38852097130243 0.714807890183939 0.88097606327941 1.1004048582996
"Sub class" "PE(O-" "9/390" "17/453" 2.30769230769231 3.75275938189845 0.239006612025696 0.700432995379909 0.614932126696833
"Sub class" "PE(P-" "20/390" "32/453" 5.12820512820513 7.06401766004415 0.254702907410876 0.700432995379909 0.725961538461538
"Sub class" "PI(" "14/390" "26/453" 3.58974358974359 5.73951434878587 0.193133754648767 0.700432995379909 0.625443786982248
"Sub class" "TG(" "97/390" "97/453" 24.8717948717949 21.4128035320088 0.250974122839383 0.700432995379909 1.16153846153846
"Sub class" "Uncategorized" "53/390" "66/453" 13.5897435897436 14.5695364238411 0.692934882354324 0.88097606327941 0.932750582750583
"Chain characteristics" "SCFA" "0/494" "0/595" 0 0 1 1 0
"Chain characteristics" "MCFA" "5/494" "6/595" 1.01214574898785 1.00840336134454 1 1 1.00371120107962
"Chain characteristics" "LCFA" "413/494" "497/595" 83.6032388663968 83.5294117647059 1 1 1.00088384558362
"Chain characteristics" "VLCFA" "76/494" "92/595" 15.3846153846154 15.4621848739496 1 1 0.994983277591973
