"variable_id","membership.x","cluster","cluster_raw","SYMBOL","ENTREZID","GENENAME","ALIAS","GENETYPE","ACCNUM","UCSCKG","ENSEMBL","UNIPROT","mz","rt","na_freq","na_freq.1","polarity","column","mode","test_name","Decsription","Category","LipidClass","Lipid_Name","Lipid_Name_Tot","Lipid_Name_LION","Lipid_Class_Detailed","Lipid_Class","FA_1","FA_2","FA_All","Sat_status_FA1","Sat_status_FA2","Saturation_All","OddEven_FA1","OddEven_FA2","OddEven_All","Omega_FA1","Omega_FA2","Omega_All","HMDB_ID","KEGG_ID","LION_ID","cellular_component","Function","Total_Carb","Total_Unsat","Carbon_numb_FA1","Carbon_numb_FA2","CarbonFA_All","Unsat_numb_FA1","Unsat_numb_FA2","UnsatFA_All","PhysicoChemical","PathwaysKegg","membership.y","mol_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","class","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level"
"metabolomics_M130T215_POS_RPLC",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.065175045311,214.962,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quinoline",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Quinoline","91-22-5","HMDB0033731","C06413","HMDB0033731_30_shen","(M+H)+",0.672144764948257,0.999638642437339,NA,NA,"Unknown_10",0.77423681887816,0.858762502712852,"HMDB_2022-04-11",2
"metabolomics_M153T73_POS_RPLC",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.06586494342,72.5051,0,0.00108225108225108,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N1-methyl-2-pyridone-5-carboxamide",NA,NA,NA,NA,NA,NA,NA,"metabolomics","N1-methyl-2-pyridone-5-carboxamide","701-44-0","HMDB0004193","C05842","RPLC_444","(M+H)+",1.58658661753464,0.997988220670248,6.65094359,0.975724479387148,"NCE25",0.976623689895461,0.98174001996208,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M154T104_POS_RPLC",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.049840069466,103.664,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amino-hydroxy-benzoic acid",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Amino-hydroxy-benzoic acid","548-93-6","HMDB0001476","C00632","RPLC_729","(M+H)+",1.68865966749365,0.997721342911527,17.615028,0.841656845059694,"NCE25",0.649505069397966,0.784597081691788,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M195T825_POS_RPLC",0.969401802121088,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.053876907462,824.95,0,0.00108225108225108,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sn-Glycerol 1-phosphate",NA,NA,NA,NA,NA,NA,NA,"metabolomics","sn-Glycerol 1-phosphate","5746-57-6","HMDB0253996","C00623","L0452","(M+Na)+",23.0567562399386,0.653579430740805,NA,NA,"15",0.55568762418625,0.592397051644209,"NIST_20220425",2
"metabolomics_M202T122_POS_RPLC",0.999999999999983,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.047536261354,121.6805,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thiabendazole",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Thiabendazole","148-79-8","HMDB0014868","C07131","LU120101","(M+H)+",9.19304001499199,0.934625291498613,NA,NA,"15",0.680771954895594,0.775966956121726,"MassBank_2022-04-27",2
"metabolomics_M265T162_POS_RPLC",0.911392628111282,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.118514983447,161.554,0.0514705882352941,0.00108225108225108,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpha-n-phenylacetyl-l-glutamine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Alpha-n-phenylacetyl-l-glutamine","28047-15-6","HMDB0006344","C04148","RPLC_450","(M+H)+",0.056976547426757,0.999997402941807,7.80648299999999,0.966710498575587,"NCE25",1,0.991676975379348,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M277T404_POS_RPLC",0.999658530703489,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.104777544219,403.63,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gamma-L-Glutamyl-L-glutamic acid",NA,NA,NA,NA,NA,NA,NA,"metabolomics","gamma-L-Glutamyl-L-glutamic acid","1116-22-9","HMDB0011737","C05282","L0352","(M+H)+",3.7149453174834,0.98902006937725,NA,NA,"10",0.589371021303112,0.739239414330914,"NIST_20220425",2
"metabolomics_M287T161_POS_RPLC",0.999999995492695,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.100428253476,161.4465,0.0441176470588235,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sakuranetin",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Sakuranetin","2957-21-3","HMDB0030090","C09833","HMDB0030090_17_shen","(M+H)+",22.6567688025625,0.663210171644602,NA,NA,"10",0.649377323842697,0.654564641768411,"HMDB_2022-04-11",2
"metabolomics_M297T552_POS_RPLC",0.99999999997597,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.203931637987,551.615,0,0,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cinchonamine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Cinchonamine","482-28-0",NA,"C16727","BML80952","(M+H)+",20.1264433299286,0.723207588587471,NA,NA,"Unknown_1",0.785404091344093,0.76208040281036,"MassBank_2022-04-27",2
"metabolomics_M302T510_POS_RPLC",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.305400950657,509.515,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinganine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Sphinganine","764-22-7","HMDB0000269","C00836","RPLC_305","(M+H)+",0.574621582529744,0.999735882914573,29.4913859,0.616812671880694,"NCE25",0.919209619254054,0.863741948325844,"Michael_Snyder_RPLC_20220424",1
